"Date","Price","Open","High","Low","Vol.","Change %"
"05/03/2024","81.30","82.16","82.64","81.11","4.27M","0.67%"
"05/02/2024","80.76","80.39","80.94","79.55","4.80M","1.41%"
"05/01/2024","79.64","79.50","81.12","79.37","7.20M","0.04%"
"04/30/2024","79.61","80.41","80.79","79.58","7.00M","-1.69%"
"04/29/2024","80.98","80.51","81.23","80.51","4.37M","1.02%"
"04/26/2024","80.16","80.24","80.96","80.00","3.37M","0.05%"
"04/25/2024","80.12","79.78","80.25","79.27","4.08M","-0.57%"
"04/24/2024","80.58","80.12","80.72","79.64","4.51M","0.19%"
"04/23/2024","80.43","79.85","80.76","79.72","5.48M","0.92%"
"04/22/2024","79.70","79.30","79.86","78.76","3.85M","0.89%"
"04/19/2024","79.00","78.66","79.35","78.63","4.59M","0.48%"
"04/18/2024","78.62","78.93","79.12","78.27","4.16M","0.01%"
"04/17/2024","78.61","79.03","79.38","78.56","5.55M","-0.73%"
"04/16/2024","79.19","79.96","80.05","78.96","6.60M","-1.41%"
"04/15/2024","80.32","82.25","82.33","79.87","5.48M","-1.70%"
"04/12/2024","81.71","82.19","82.38","81.39","5.45M","-1.19%"
"04/11/2024","82.69","82.99","83.16","81.86","7.15M","0.34%"
"04/10/2024","82.41","83.45","83.71","81.93","8.33M","-4.14%"
"04/09/2024","85.97","85.15","85.97","84.97","4.08M","1.33%"
"04/08/2024","84.84","84.21","84.92","84.12","3.87M","1.07%"
"04/05/2024","83.94","83.22","84.14","83.01","4.79M","0.51%"
"04/04/2024","83.51","84.74","85.14","83.21","5.95M","-0.64%"
"04/03/2024","84.05","83.76","84.15","83.41","3.63M","0.11%"
"04/02/2024","83.96","84.37","84.44","83.63","5.12M","-1.26%"
"04/01/2024","85.03","86.74","86.74","84.86","5.33M","-1.68%"
"03/28/2024","86.48","86.03","86.77","86.03","4.63M","0.71%"
"03/27/2024","85.87","84.67","85.90","84.47","5.19M","2.58%"
"03/26/2024","83.71","84.27","84.37","83.68","4.92M","-0.40%"
"03/25/2024","84.05","84.65","84.96","84.05","5.26M","-0.61%"
"03/22/2024","84.57","85.69","85.88","84.50","3.92M","-2.10%"
"03/21/2024","86.38","86.13","86.75","85.86","3.75M","0.72%"
"03/20/2024","85.76","84.67","86.02","84.32","4.61M","0.66%"
"03/19/2024","85.20","85.15","85.52","84.69","4.17M","-0.04%"
"03/18/2024","85.23","85.38","85.68","85.07","3.03M","0.05%"
"03/15/2024","85.19","84.56","85.52","84.54","4.21M","-0.22%"
"03/14/2024","85.38","86.32","86.49","84.64","4.16M","-1.50%"
"03/13/2024","86.68","86.97","87.51","86.40","3.42M","-0.51%"
"03/12/2024","87.12","87.15","87.48","86.37","3.31M","-0.22%"
"03/11/2024","87.31","87.54","88.07","86.94","3.47M","-0.48%"
"03/08/2024","87.73","87.50","88.03","87.30","4.55M","1.15%"
"03/07/2024","86.73","87.21","87.42","86.30","3.16M","-0.02%"
"03/06/2024","86.75","86.88","87.08","86.24","5.00M","0.50%"
"03/05/2024","86.32","86.91","87.54","85.92","4.72M","-1.21%"
"03/04/2024","87.38","86.33","87.43","85.72","5.32M","0.94%"
"03/01/2024","86.57","85.42","86.57","84.53","6.56M","1.19%"
"02/29/2024","85.55","85.51","86.00","85.16","6.60M","0.85%"
"02/28/2024","84.83","83.55","85.35","83.46","5.17M","1.01%"
"02/27/2024","83.98","84.34","84.72","83.80","3.86M","0.12%"
"02/26/2024","83.88","84.59","85.04","83.72","5.94M","-1.10%"
"02/23/2024","84.81","84.90","85.30","84.60","4.70M","-0.05%"
"02/22/2024","84.85","84.96","85.28","84.67","5.00M","0.19%"
"02/21/2024","84.69","84.40","84.81","84.07","4.05M","0.56%"
"02/20/2024","84.22","83.88","84.56","83.48","4.74M","-0.18%"
"02/16/2024","84.37","84.25","84.86","83.65","4.78M","-1.03%"
"02/15/2024","85.25","84.07","85.34","84.02","5.16M","2.33%"
"02/14/2024","83.31","83.02","83.78","82.62","5.26M","0.79%"
"02/13/2024","82.66","82.58","82.68","81.54","6.20M","-2.06%"
"02/12/2024","84.40","84.54","85.01","84.22","3.95M","0.02%"
"02/09/2024","84.38","84.20","84.52","83.43","3.48M","0.15%"
"02/08/2024","84.25","83.33","84.49","83.33","3.70M","0.81%"
"02/07/2024","83.57","83.99","84.07","83.10","5.07M","-0.14%"
"02/06/2024","83.69","82.71","83.85","82.41","5.48M","1.34%"
"02/05/2024","82.58","83.30","83.30","82.32","6.27M","-2.10%"
"02/02/2024","84.35","84.18","84.88","82.94","7.94M","-1.24%"
"02/01/2024","85.41","83.80","85.43","83.34","8.95M","1.81%"
"01/31/2024","83.89","84.98","85.63","83.73","8.89M","-0.96%"
"01/30/2024","84.70","85.13","85.43","84.54","4.58M","-0.94%"
"01/29/2024","85.50","84.92","85.67","84.69","3.59M","0.66%"
"01/26/2024","84.94","85.35","85.59","84.75","2.78M","-0.28%"
"01/25/2024","85.18","85.11","85.61","84.76","4.39M","1.28%"
"01/24/2024","84.10","86.19","86.27","84.04","3.27M","-1.43%"
"01/23/2024","85.32","86.24","86.53","85.03","4.82M","-0.69%"
"01/22/2024","85.91","85.70","86.74","85.52","4.20M","0.60%"
"01/19/2024","85.40","84.59","85.68","83.95","6.19M","1.20%"
"01/18/2024","84.39","84.98","85.30","83.78","4.54M","-0.54%"
"01/17/2024","84.85","85.25","86.32","83.99","4.90M","-1.83%"
"01/16/2024","86.43","86.58","86.97","86.15","5.13M","-0.74%"
"01/12/2024","87.07","87.42","87.70","86.63","3.07M","0.60%"
"01/11/2024","86.55","87.18","87.18","86.05","5.51M","-0.93%"
"01/10/2024","87.36","87.44","87.77","87.04","3.65M","0.11%"
