Date,Price,Open,High,Low,Vol.,Change %
10/16/2023,91.64,97.48,97.8,91.4,3.39M,-9.52%
10/13/2023,101.28,90.2,103.64,89.6,5.69M,12.04%
10/12/2023,90.40,87.52,94.08,85.72,3.41M,2.17%
10/11/2023,88.48,89,93.24,88,2.25M,-1.82%
10/10/2023,90.12,92.32,92.36,88.96,2.13M,-3.35%
10/9/2023,93.24,97.72,99.08,93.12,2.01M,-1.40%
10/6/2023,94.56,98.84,101.14,92.6,3.14M,-1.25%
10/5/2023,95.76,96.96,101.48,95.72,2.72M,-1.40%
10/4/2023,97.12,100.6,101.98,96.72,3.57M,-5.01%
10/3/2023,102.24,96.04,103.84,94.54,3.81M,9.42%
10/2/2023,93.44,93.76,95.56,91,2.86M,0.17%
09/29/2023,93.28,88.04,93.44,87.48,2.89M,1.97%
09/28/2023,91.48,95.96,97.08,90.7,2.88M,-4.59%
09/27/2023,95.88,97.24,101.76,95.84,3.66M,-4.27%
09/26/2023,100.16,93.68,100.64,92.58,4.08M,9.34%
09/25/2023,91.60,94.12,95.12,91.04,2.61M,0.13%
09/22/2023,91.48,90.88,91.96,88.2,2.97M,0.26%
09/21/2023,91.24,88.64,91.52,86.8,4.28M,7.70%
09/20/2023,84.72,80.32,84.96,79.74,3.32M,3.77%
09/19/2023,81.64,82.12,84.12,81.16,2.84M,-0.49%
09/18/2023,82.04,83.76,84.36,80.84,2.05M,-0.82%
09/15/2023,82.72,80.15,83,79.08,3.20M,3.87%
09/14/2023,79.64,80.96,81.21,79.52,2.76M,-2.93%
09/13/2023,82.04,83.04,83.27,81.56,2.49M,-2.01%
9/12/2023,83.72,84,84.4,82.2,2.02M,0.72%
9/11/2023,83.12,83.64,84.84,82.76,1.80M,-2.35%
9/8/2023,85.12,86.56,86.6,83.84,2.32M,-1.98%
9/7/2023,86.84,89.84,90.76,86.36,2.01M,-0.14%
9/6/2023,86.96,85.68,88.92,85.4,1.95M,1.83%
9/5/2023,85.40,85.2,86.56,84.1,1.70M,0.66%
9/1/2023,84.84,84.68,85.68,83.98,2.44M,-1.35%
08/31/2023,86.00,87.6,87.87,85.56,2.12M,-2.23%
08/30/2023,87.96,89.68,90.48,87.44,2.17M,-3.00%
08/29/2023,90.68,92.76,92.92,89.84,2.87M,-2.49%
08/28/2023,93.00,94.92,95.36,92.88,2.14M,-3.93%
08/25/2023,96.80,99.96,102.4,95.84,3.42M,-4.35%
08/24/2023,101.20,95.88,101.59,95.38,2.68M,4.09%
08/23/2023,97.22,99.48,99.64,96.92,1.99M,-3.32%
08/22/2023,100.56,98.16,102.36,98.04,2.59M,0.44%
08/21/2023,100.12,101.8,103.64,99.68,3.26M,-2.64%
08/18/2023,102.84,108.84,109.32,101.96,3.46M,-2.54%
08/17/2023,105.52,99.6,105.56,98.76,3.62M,4.81%
08/16/2023,100.68,99.16,100.92,96.2,3.62M,1.61%
08/15/2023,99.08,95.44,100.08,95.12,3.89M,5.76%
08/14/2023,93.68,96.88,98.36,93.44,2.43M,-1.72%
8/11/2023,95.32,101.04,101.68,95.04,2.67M,-3.91%
8/10/2023,99.20,95.68,102.16,93.44,4.06M,0.45%
8/9/2023,98.76,98.8,103,96.64,3.37M,-0.88%
8/8/2023,99.64,102.1,108.84,99.52,4.05M,1.76%
8/7/2023,97.92,101.04,101.92,97.69,2.51M,-5.23%
8/4/2023,103.32,96.24,104.02,94.48,3.83M,3.57%
8/3/2023,99.76,103.6,105.24,98.32,3.50M,-0.32%
8/2/2023,100.08,97.56,102.6,97.2,4.54M,9.02%
8/1/2023,91.80,92.88,93.72,91.68,1.64M,1.55%
07/31/2023,90.40,91.12,92.38,90.36,1.67M,-1.31%
07/28/2023,91.60,91.68,94.08,90.55,2.24M,-3.78%
07/27/2023,95.20,89,97.24,88.8,4.23M,4.98%
07/26/2023,90.68,94.28,94.28,90.44,2.37M,-2.66%
07/25/2023,93.16,93.12,93.59,91.28,1.78M,-0.04%
07/24/2023,93.20,94.72,94.72,92.36,2.05M,-1.69%
07/21/2023,94.80,94.8,95.44,93.04,2.33M,-1.21%
07/20/2023,95.96,96.6,97.66,94.72,2.12M,0.38%
07/19/2023,95.60,93.16,96.64,92.92,2.00M,1.79%
07/18/2023,93.92,95.32,95.6,93.56,1.48M,-1.63%
07/17/2023,95.48,96,96.12,93.73,1.39M,-0.21%
07/14/2023,95.68,96.88,98.16,95.04,1.86M,-1.20%
07/13/2023,96.84,94.52,97.02,93.76,1.83M,0.58%
7/12/2023,96.28,98.52,98.68,96.04,2.61M,-5.50%
